#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169)
Smp_135710.1	Forkhead-associated (FHA) domain	Genesis {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_135740.1	Splicing factor 3B subunit 5/RDS3 complex subunit 10	PRP8 isoform 1, SNU114 isoform
Smp_135750.1	NA	Thioredoxin-like protein Sco1 (YpmQ), soluble domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_135770.1	Palmitoyltransferase, DHHC domain	Palmitoyltransferase (E.C.2.3.1.225)
Smp_135790.1	Dbl homology (DH) domain	Rho guanine nucleotide exchange factor
Smp_135790.2	EH domain	Pob1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_135790.3	EH domain	Pob1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_135820.1	Immunoglobulin subtype	G Protein-Coupled Receptor, MEMBRANE PROTEIN
Smp_135830.1	NA	DUF4588 
Smp_135840.1	NA	Glycosyltrehalose trehalohydrolase {Archaeon Sulfolobus solfataricus, km1 [TaxId: 2287]}
Smp_135860.1	DNA repair protein XRCC4	helix-turn-helix, helix bundle, GENE REGULATION
Smp_135870.1	FYVE zinc finger	Lipopolysaccharide-responsive and beige-like anchor protein
Smp_135880.1	Transmembrane protein 161A/B	Tmemb_161AB 
Smp_135890.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_135900.1	NA	Hamartin, Isoform 7 of Tuberin
Smp_135910.1	SNF2, N-terminal	DNA-directed RNA polymerase II subunit
Smp_135920.1	WW domain	centriolar protein, TTBK2 binding, ciliopathies
Smp_135930.1	Zinc finger, MYND-type	Zinc finger MYND domain-containing protein 10, ZMYND10 {Human (Homo sapiens) [TaxId: 9606]}
Smp_135940.1	G-protein gamma-like domain	Transducin (heterotrimeric G protein), gamma chain {Cow (Bos taurus) [TaxId: 9913]}
Smp_135960.1	Transmembrane protein 11	Mito_morph_reg 
Smp_135970.1	EF-hand domain	Eps15 {Human (Homo sapiens) [TaxId: 9606]}
Smp_135980.1	EF-hand domain	Calmodulin {Ciliate (Paramecium tetraurelia) [TaxId: 5888]}
Smp_135990.1	Domain of unknown function DUF4614	DUF4614 
Smp_136010.1	WD40 repeat	ribosome
Smp_136030.1	Bicarbonate transporter, eukaryotic	Electrogenic sodium bicarbonate cotransporter 1
Smp_136040.1	Dual specificity phosphatase, catalytic domain	Mapk phosphatase {Human (Homo sapiens), pac-1 [TaxId: 9606]}
Smp_136050.1	Leucine-rich repeat	von Willebrand factor binding domain of glycoprotein Ib alpha {Human (Homo sapiens) [TaxId: 9606]}
Smp_136070.1	Protein kinase domain	Musk tyrosine kinase {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_136090.1	Ribosomal protein L30, ferredoxin-like fold domain	PROTEIN/RNA Complex
Smp_136110.1	Leucine-rich repeat	Ribonuclease inhibitor {Human (Homo sapiens) [TaxId: 9606]}
Smp_136130.1	Parathyroid hormone-responsive B1	Bardet-Biedl syndrome 1 protein, Bardet-Biedl
Smp_136150.1	Leucine-rich repeat	Rna1p (RanGAP1), N-terminal domain {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_136160.1	p53 tumour suppressor family	p53 tumor suppressor, DNA-binding domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_136180.1	UmuC domain	DNA polymerase kappa {Human (Homo sapiens) [TaxId: 9606]}
Smp_136190.1	Nuclear protein MDM1	MDM1 
Smp_136200.1	NA	Glycophorin_A 
Smp_136210.1	WD40 repeat	outer-arm dynein, axonemal dynein, microtubule
Smp_136240.1	Major sperm protein (MSP) domain	Vesicle-associated membrane protein-associated protein A
Smp_136260.1	SIS domain	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (E.C.2.6.1.16)
Smp_136280.1	Helicase-like, DEXD box c2 type	PIC, TFIIH, transcription, ITC, RNA
Smp_136280.2	Zinc finger, RING-type	PIC, TFIIH, transcription, ITC, RNA
Smp_136280.3	Helicase-like, DEXD box c2 type	PIC, TFIIH, transcription, ITC, RNA
Smp_136300.1	Protein kinase domain	SRC in complex
Smp_136310.1	Bile acid	Transporter, sodium/bile acid symporter family
Smp_136320.1	GSKIP domain	Hypothetical protein c14orf129, hspc210 {Human (Homo sapiens) [TaxId: 9606]}
Smp_136350.1	RNase P subunit Pop5/Rpp14/Rnp2-like	Ribonucleases P/MRP protein subunit POP1
Smp_136360.1	Metallo-beta-lactamase	Endonuclease, DNA repair, V(D)J recombination
Smp_136400.1	Cytochrome b561/ferric reductase transmembrane	Probable transmembrane ascorbate ferrireductase 2
Smp_136460.1	NA	Protocadherin-15, LHFPL tetraspan subfamily member
Smp_136470.1	Dbl homology (DH) domain	RhoGEF Vav {Mouse (Mus musculus) [TaxId: 10090]}
Smp_136480.1	NA	DUF5810 
Smp_136490.1	TORC2 component Sin1/Avo1	DEPTOR, mTOR, regulator, inhibitor, mTORC2
Smp_136510.1	NA	Rab3-GAP_cat_C 
Smp_136510.2	NA	Rab3-GAP_cat_C 
Smp_136520.1	von Willebrand factor, type A	Pre-initiation complex, TRANSCRIPTION
Smp_136530.1	Palmitoyltransferase, DHHC domain	Transcription factor inhibitor I-kappa-B-beta, IKBB {Mouse (Mus musculus) [TaxId: 10090]}
Smp_136540.1	DnaJ domain	DnaJ homolog subfamily B member
Smp_136550.1	Kringle	Musk tyrosine kinase {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_136570.1	Piezo non-specific cation channel, R-Ras-binding domain	Piezo-type mechanosensitive ion channel component
Smp_136580.1	Exocyst complex component Exo70	TIB-55 BB88 cDNA, RIKEN full-length
Smp_136590.1	Mitochondrial cytochrome c oxidase subunit VIc/VIIs	NADH-QUINONE OXIDOREDUCTASE SUBUNIT 1 (E.C.1.6.99.5)
Smp_136620.1	NA	InaF-motif 
Smp_136640.1	EF-hand domain	Grancalcin {Human (Homo sapiens) [TaxId: 9606]}
Smp_136660.1	EGF-like domain	Neural cell adhesion molecule (NCAM) {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_136660.2	EGF-like domain	Neural cell adhesion molecule (NCAM) {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_136690.1	Cholinesterase	Butyryl cholinesterase {Human (Homo sapiens) [TaxId: 9606]}
Smp_136700.1	NA	NA
Smp_136710.1	P-type ATPase	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
Smp_136710.2	P-type ATPase	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
Smp_136730.1	Aspartic peptidase A1 family	Pepsin(ogen) {Pig (Sus scrofa) [TaxId: 9823]}
Smp_136740.1	ClpA/B family	Torsin-1A (E.C.3.6.4.-), Torsin-1A-interacting protein 2
Smp_136760.1	NA	Somatic embryogenesis receptor kinase 1
Smp_136770.1	BCL7	BCL_N 
Smp_136780.1	Ubiquitin-like domain	Ubiquitin-like protein bab25500 (2010008E23Rik) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_136850.1	EF-hand domain	Myosin Essential Chain {Bay scallop (Aequipecten irradians) [TaxId: 31199]}
Smp_136860.1	NA	Factor IX (IXa) {Human (Homo sapiens) [TaxId: 9606]}
Smp_136870.1	Universal stress protein A family	Hypothetical protein TTHA0895 {Thermus thermophilus [TaxId: 274]}
Smp_136910.1	DnaJ domain	CSL-type zinc finger-containing protein 3 (J-domain protein DjC7, 1700030a21RIK) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_136920.1	Glycosyltransferase 2-like	N-acetylgalactosaminyltransferase 7 (E.C.2.4.1.-)
Smp_136930.1	Alpha crystallin/Small heat shock protein, animal type	SMALL HEAT SHOCK PROTEIN
Smp_136950.1	NA	zf-CCHC_3 
Smp_136970.1	RecF/RecN/SMC, N-terminal	Structural maintenance of chromosomes protein
Smp_136980.1	RAVE subunit 2/Rogdi	Protein rogdi homolog
Smp_136990.1	Dynactin subunit 3	ARP1 actin related protein 1
Smp_137000.1	Mitochondrial substrate/solute carrier	ADP,ATP carrier protein {Cow (Bos taurus), heart isoform t1 [TaxId: 9913]}
Smp_137020.1	Phosphatidylinositol transfer protein	Phoshatidylinositol transfer protein, PITP {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_137040.1	HECT domain	WW domain-containing protein 1, WWP1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_137050.1	G protein-coupled receptor, rhodopsin-like	Gonadotropin-releasing hormone receptor,GlgA glycogen synthase
Smp_137080.1	ABC transporter-like, ATP-binding domain	ATP-dependent translocase ABCB1 (E.C.7.6.2.2,7.6.2.1)
Smp_137090.1	Zinc finger, RING-type	Histone H3, Histone H4, Histone
Smp_137100.1	NA	NA
Smp_137120.1	Sterile alpha motif domain	Atherin/DNA Complex
Smp_137160.1	EF-hand domain	ADP,ATP carrier protein {Cow (Bos taurus), heart isoform t1 [TaxId: 9913]}
Smp_137180.1	NA	NA
Smp_137190.1	Frataxin/CyaY	C-terminal domain of frataxin {Human (Homo sapiens) [TaxId: 9606]}
Smp_137210.1	WD40/YVTN repeat-like-containing domain superfamily	F-box/WD repeat-containing protein 11, S-phase
Smp_137250.1	NA	BNR_6 
Smp_137280.1	Coiled-coil domain-containing protein 87	Protein regulator of cytokinesis 1
Smp_137300.1	G protein-coupled receptor, rhodopsin-like	Neuropeptide Y receptor type 1,T4
Smp_137310.1	G protein-coupled receptor, rhodopsin-like	Neuropeptide Y receptor type 1,T4
Smp_137320.1	G protein-coupled receptor, rhodopsin-like	Kumopsin1
Smp_137330.1	RNA recognition motif domain	L-serine dehydratase {Human (Homo sapiens) [TaxId: 9606]}
Smp_137360.1	NA	VIRAL PROTEIN
Smp_137380.1	Forkhead-associated (FHA) domain	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_137390.1	Histone RNA stem-loop-binding protein SLBP1/SLBP2	SLBP-5E/RNA Complex
Smp_137400.1	NA	NA
Smp_137410.1	Cysteine peptidase, cysteine active site	cysteine protease, inhibitor, Cell membrane
Smp_137530.1	TATA element modulatory factor 1, TATA binding	TMF_TATA_bd 
Smp_137540.1	FAD/NAD-linked reductase, dimerisation domain superfamily	APOPTOSIS-INDUCING FACTOR 1, MITOCHONDRIAL (E.C.1.1.1.-)
Smp_137580.1	Helicase, C-terminal	ANTIVIRAL HELICASE SKI2 (E.C.3.6.4.13), SUPERKILLER
Smp_137590.1	Ribosomal RNA methyltransferase, FtsJ domain	tRNA (guanosine(34)-2'-O)-methyltransferase non-catalytic subunit TRM734
Smp_137600.1	NA	NA
Smp_137610.1	FERM domain	Tyrosine-protein kinase ZAP-70 {Human (Homo sapiens) [TaxId: 9606]}
Smp_137640.1	NA	TSP3_bac 
Smp_137650.1	Armadillo-like helical	Exportin-T
Smp_137660.1	Kinesin motor domain	Kinesin {Human (Homo sapiens) [TaxId: 9606]}
Smp_137690.1	PDZ superfamily	KIAA1526 protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_137700.1	Saposin B type domain	Pulmonary surfactant-associated protein B
Smp_137710.1	Major facilitator superfamily	Hexose transporter 1
Smp_137720.1	Saposin B type domain	NK-lysin, NKL {Pig (Sus scrofa) [TaxId: 9823]}
Smp_137740.1	Glycosyl transferase family 10	Alpha1,3-fucosyltransferase (E.C.2.4.1.152)
Smp_137740.2	Glycosyl transferase family 10	Alpha1,3-fucosyltransferase (E.C.2.4.1.152)
Smp_137750.1	EF-hand domain	X-RAY STRUCTURE AN EF-HAND PROTEIN
Smp_137800.1	AAA  ATPase domain	Replication factor C1 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_137800.2	AAA  ATPase domain	Replication factor C1 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_137810.1	NA	NA
Smp_137840.1	NA	NA
Smp_137840.2	NA	NA
Smp_137850.1	NA	NA
Smp_137860.1	NA	outer-arm dynein, axonemal dynein, microtubule
Smp_137870.1	Steroidogenic acute regulatory protein-like	MENTAL 
Smp_137890.1	ABC transporter-like, ATP-binding domain	ATP-binding cassette sub-family G member
Smp_137890.2	ABC transporter-like, ATP-binding domain	ATP-binding cassette sub-family G member
Smp_137890.3	ABC transporter-like, ATP-binding domain	ATP-binding cassette sub-family G member
Smp_137910.1	ZU5 domain	Tight junction protein ZO-1
Smp_137920.1	Glutathione S-transferase, C-terminal domain superfamily	Chloride intracellular channel 1 (clic1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_137930.1	NA	DUF3827 
Smp_137940.1	Guanylate kinase-like domain	Guanylate kinase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_137950.1	Leucine-rich repeat domain superfamily	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_137950.2	Leucine-rich repeat domain superfamily	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_137970.1	Zinc finger, PHD-type	H3(1-13)/PHF14-PZP, GENE REGULATION
Smp_137980.1	GPCR, rhodopsin-like, 7TM	ARG-ARG-PRO-TYR-ILE-LEU, Beta-arrestin-1, Neurotensin receptor type
Smp_137990.1	Synaphin	Vamp2, Syntaxin 1a, SNAP25, Complexin-1
Smp_138000.1	NA	NA
Smp_138010.1	HSP20-like chaperone	Suppressor of G2 allele of skp1 homolog, gst1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_138030.1	SET domain	COMPASS eCM/H2Bub nucleosome complex
Smp_138050.1	RNA recognition motif domain	Polypyrimidine tract-binding protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_138060.1	NA	CATIONIC TRYPSIN (E.C.3.4.21.4), VERONICA HEDERIFOLIA
Smp_138070.1	NA	Defensin MGD-1 {Mediterranean mussel (Mytilus galloprovincialis) [TaxId: 29158]}
Smp_138080.1	NA	Neuroblastoma suppressor of tumorigenicity 1
Smp_138110.1	Helix-turn-helix motif	Msx-1 homeodomain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138130.1	NA	PUTATIVE 2'-O-METHYL TRANSFERASE (E.C.2.1.1.-), NON-STRUCTURAL
Smp_138140.1	Homeobox domain	Msx-1 homeodomain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138150.1	Rho GTPase-activating protein domain	Beta-chimaerin, C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_138160.1	BCP1 family	BRCA2 and CDKN1A-interacting protein
Smp_138180.1	Methyl-CpG DNA binding	Methyl-CpG-binding domain protein 2, Metastasis-associated
Smp_138200.1	Armadillo-type fold	DUF2428 
Smp_138210.1	Alpha crystallin/Small heat shock protein, animal type	SMALL HEAT SHOCK PROTEIN
Smp_138220.1	NA	Enhancer of mRNA-decapping protein 3
Smp_138230.1	DM DNA-binding domain	DM domain of Doublesex (dsx) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_138240.1	Zinc finger, double-stranded RNA binding	Zinc finger protein 593, ZNF593 {Human (Homo sapiens) [TaxId: 9606]}
Smp_138280.1	Ribonuclease III domain	Ribosome, Mitochondria, tRNA(E*), TRANSLATION
Smp_138290.1	Dynein light chain, type 1/2	Dynein, Dynein Light Chain, Dimer-monomer
Smp_138300.1	Tetraspanin, EC2 domain superfamily	Tetraspanin 
Smp_138300.2	Tetraspanin, EC2 domain superfamily	Tetraspanin 
Smp_138310.1	Dual specificity phosphatase, catalytic domain	Mapk phosphatase {Human (Homo sapiens), pac-1 [TaxId: 9606]}
Smp_138310.2	Dual specificity phosphatase, catalytic domain	Mapk phosphatase {Human (Homo sapiens), pac-1 [TaxId: 9606]}
Smp_138320.1	NA	NA
Smp_138330.1	Tetraspanin, EC2 domain superfamily	CD81 antigen
Smp_138340.1	Zinc finger C2H2-type	Transcriptional repressor CTCF {Human (Homo sapiens) [TaxId: 9606]}
Smp_138350.1	Zinc finger C2H2-type	NOA36 
Smp_138430.1	DEP domain	GPCR, SIGNALING PROTEIN
Smp_138470.1	NA	HTH-type transcriptional regulator MqsA (YgiT/B3021)
Smp_138480.1	NEMP family	NEMP 
Smp_138500.1	Arf GTPase activating protein	Ras-related protein Rab-35, Iporin
Smp_138510.1	NA	NA
Smp_138520.1	Drought induced 19 protein type, zinc-binding domain	FIVE-FINGER GLI/DNA COMPLEX
Smp_138520.2	Drought induced 19 protein type, zinc-binding domain	FIVE-FINGER GLI/DNA COMPLEX
Smp_138580.1	NA	NA
Smp_138590.1	Hydroxymethylglutaryl-CoA reductase, class I/II	OXIDOREDUCTASE, CHOLESTEROL BIOSYNTHESIS, HMG-COA, NADPH
Smp_138600.1	SBF1/SBF2 domain	SBF2 
Smp_138610.1	BRCT domain	Tudor-interacting repair regulator protein, TP53-binding
Smp_138640.1	Sirtuin family	NAD-dependent protein deacetylase sirtuin-1 (E.C.3.5.1.-)
Smp_138680.1	Tetratricopeptide repeat 1	DNAJ HOMOLOG SUBFAMILY C MEMBER
Smp_138690.1	Leucine-rich repeat	Polygalacturonase inhibiting protein PGIP {Kidney bean (Phaseolus vulgaris) [TaxId: 3885]}
Smp_138690.2	Leucine-rich repeat	PROTEIN
Smp_138690.3	NA	COR 
Smp_138690.4	Leucine-rich repeat	PROTEIN
Smp_138720.1	Protein of unknown function DUF1759	DUF1759 
Smp_138750.1	Glycosyltransferase family 23 (GT23) domain	Alpha-(1,6)-fucosyltransferase (E.C.2.4.1.68)
Smp_138760.1	NUDIX hydrolase domain	NUDT9 (mitochondrial ADP-ribose pyrophosphatase) {Human (Homo sapiens) [TaxId: 9606]}
Smp_138770.1	Histone deacetylase family	HDAC6
Smp_138810.1	Frag1/DRAM/Sfk1	Frag1 
Smp_138840.1	Target SNARE coiled-coil homology domain	Vps45, Tlg2 Qa SNARE
Smp_138840.2	Target SNARE coiled-coil homology domain	Vps45, Tlg2 Qa SNARE
Smp_138850.1	SH2 domain	Hematopoietic SH2 domain containing protein HSH2D {Human (Homo sapiens) [TaxId: 9606]}
Smp_138850.2	SH2 domain	Hematopoietic SH2 domain containing protein HSH2D {Human (Homo sapiens) [TaxId: 9606]}
Smp_138860.1	Clathrin/coatomer adaptor, adaptin-like, N-terminal	adaptor protein, vesicle transport, AP-3
Smp_138880.1	RNA recognition motif domain	RNA-binding protein 9 {Human (Homo sapiens) [TaxId: 9606]}
Smp_138890.1	Zinc finger, AN1-type	AN1-type zinc finger protein 1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138890.2	Zinc finger, AN1-type	AN1-type zinc finger protein 1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138890.3	Zinc finger, AN1-type	AN1-type zinc finger protein 1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_138900.1	Sterile alpha motif domain	C-terminal domain of p73 {Human (Homo sapiens) [TaxId: 9606]}
Smp_138920.1	Proteasome component (PCI) domain	COP9 SIGNALOSOME COMPLEX SUBUNIT 1
Smp_138930.1	Glutamyl/glutaminyl-tRNA synthetase	Glutamine--tRNA ligase (E.C.6.1.1.18)
Smp_139010.1	NA	Thiamine transporter
Smp_139030.1	NA	Histone deacetylase HDA1 (E.C.3.5.1.98), HDA1
Smp_139060.1	Zinc finger C2H2-type	PR domain zinc finger protein
Smp_139070.1	Rho GTPase-activating protein domain	Beta-chimaerin, C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_139080.1	Bestrophin	Bestrophin
Smp_139080.2	Bestrophin	Bestrophin-1, Fab antibody fragment, light
Smp_139090.1	PLAT/LH2 domain	Rab6 Interacting Protein 1, Rab
Smp_139100.1	Conserved hypothetical protein CHP02231	DUF4139 
Smp_139100.2	Conserved hypothetical protein CHP02231	DUF4139 
Smp_139100.3	Conserved hypothetical protein CHP02231	DUF4139 
Smp_139140.1	NA	NA
Smp_139150.1	Major facilitator superfamily	L-fucose-proton symporter
Smp_139180.1	Frizzled/Smoothened, transmembrane domain	Smoothened homolog,Flavodoxin,Smoothened homolog
Smp_139200.1	Nuclear hormone receptor, ligand-binding domain	Retinoic acid receptor gamma
Smp_139240.1	Peptidase C1A, papain C-terminal	(Pro)cathepsin L {Human (Homo sapiens) [TaxId: 9606]}
Smp_139250.1	WD40 repeat	Cdc4 propeller domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_139330.1	Nicotinic acetylcholine receptor	Neuronal acetylcholine receptor subunit alpha-7,Soluble
Smp_139340.1	Small GTPase	Rab27b {Human (Homo sapiens) [TaxId: 9606]}
Smp_139360.1	Zinc finger, nuclear hormone receptor-type	Retinoid X receptor (RXR-alpha) DNA-binding domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_139360.2	Zinc finger, nuclear hormone receptor-type	Retinoid X receptor (RXR-alpha) DNA-binding domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_139380.1	NA	NA
Smp_139410.1	Calmodulin-binding domain	Intermediate conductance calcium-activated potassium channel
Smp_139420.1	NA	Hypothetical  kinase-like protein Aq_1292 {Aquifex aeolicus [TaxId: 63363]}
Smp_139430.1	Pleckstrin homology domain	accelerated-cell-death 11
Smp_139430.2	Pleckstrin homology domain	Dual adaptor of phosphotyrosine and 3-phosphoinositides DAPP1/PHISH {Human (Homo sapiens) [TaxId: 9606]}
Smp_139450.1	Cysteine-rich  secretory protein-related	Insect allergen 5 (AG5) {Yellow jacket (Vespula vulgaris), Ves v 5 [TaxId: 7454]}
Smp_139470.1	SH2 domain	Tyrosine kinase Fyn {Human (Homo sapiens) [TaxId: 9606]}
Smp_139480.1	Protein kinase domain	ephb2 receptor tyrosine kinase {Mouse (Mus musculus) [TaxId: 10090]}
Smp_139500.1	NA	MYEOV2 
Smp_139520.1	SH3 domain	CELL-FREE PROTEIN SYNTHESIS, PROTEIN REGULATION
Smp_139530.1	p53 tumour suppressor family	p53 tumor suppressor, DNA-binding domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_139540.1	NA	NA
Smp_139580.1	Alba-like domain superfamily	Ribonuclease P protein subunit p20
Smp_139590.1	NA	Cell division control protein 21
Smp_139600.1	Zinc finger C2H2-type	Cohesin subunit SA-2, Double-strand-break repair
Smp_139620.1	PDZ domain	Glutamate receptor interacting protein 2, GRIP2 (KIAA1719) {Human (Homo sapiens) [TaxId: 9606]}
Smp_139650.1	AN1-like Zinc finger	MDM4 {Human (Homo sapiens) [TaxId: 9606]}
Smp_139680.1	Short-chain dehydrogenase/reductase SDR	Carbonyl reductase/20beta-hydroxysteroid dehydrogenase {Human (Homo sapiens) [TaxId: 9606]}
Smp_139720.1	Zinc/iron permease	Zip 
Smp_139760.1	Kinesin light chain	NaB(AB)3ACb - putative P. anserina
Smp_139800.1	Protein kinase domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_139840.1	Pancreatic trypsin inhibitor Kunitz domain	Trypsin inhibitor {Sea anemone (Stichodactyla helianthus) [TaxId: 6123]}
Smp_139900.1	Histidine phosphatase superfamily, clade-2	Prostatic acid phosphatase {Human (Homo sapiens) [TaxId: 9606]}
Smp_139930.1	Tyrosine-specific protein phosphatase, PTPase domain	Tyrosine phosphatase {Human (Homo sapiens), 1B [TaxId: 9606]}
Smp_139940.1	POU-specific domain	Oct-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_139970.1	EF-hand domain	Calmodulin-related protein T21P5.17 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_139980.1	RNA recognition motif domain	RNA-binding protein 9 {Human (Homo sapiens) [TaxId: 9606]}
Smp_140000.1	Tetraspanin, EC2 domain superfamily	CD81 antigen
Smp_140020.1	C2 domain superfamily	PI-specific phospholipase C isozyme D1 (PLC-D1), C-terminal domain {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_140030.1	Intraflagellar transport protein 74	Intraflagellar transport protein 22
Smp_140040.1	Adenylyl cyclase class-3/4/guanylyl cyclase	Adenylyl cyclase IIC1, domain C2a {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_140040.2	Adenylyl cyclase class-3/4/guanylyl cyclase	Adenylyl cyclase IIC1, domain C2a {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_140080.1	PAT complex subunit CCDC47	60S ribosome-TMCO1 translocon assembly
Smp_140100.1	Matrin/U1-C-like, C2H2-type zinc finger	Nuclear factor 90/RNA Complex
